institution_name,oclc_symbol,street_address,country_name,opac_url
Central Baptist College Library,AJH,"Story Library, 1501 College Ave, Conway, AR",United States,http://www.worldcat.org/wcpa/oclc/954963458?page=frame&url=http%3A%2F%2Fls2pac.cbc.edu%3A8080%2F%26checksum%3Ded1ee1e64a32ef2f05140ea8d1ca9cef&title=Central+Baptist+College+Library&linktype=opac&detail=AJH%3ACentral+Baptist+College+Library%3AAcademic Library&app=wcapi&id=OCPSB-
University of Arkansas - Pine Bluff,AKB,"Watson Mem Libr, N University Dr, Pine Bluff, AR",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2Ftcna.primo.hosted.exlibrisgroup.com%2Fprimo_library%2Flibweb%2Faction%2Fsearch.do%3Ffn%3Dsearch%26ct%3Dsearch%26vid%3DUAPB%26vl%28freeText0%29%3D9780472086771%26checksum%3Ddbb446374738d4adaf44171b184495a5&title=University+of+Arkansas+-+Pine+Bluff&linktype=opac&detail=AKB%3AUniversity+of+Arkansas+-+Pine+Bluff%3AAcademic Library&app=wcapi&id=OCPSB-
University of Central Arkansas,AKC,"201 Donaghey Avenue, 201 Donaghey, Conway, AR",United States,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=http%3A%2F%2Fucark.uca.edu%2Fsearch%2Fo200725%26checksum%3Dc6df08f891c6abd122a8c3ffe59a93af&title=University+of+Central+Arkansas&linktype=opac&detail=AKC%3AUniversity+of+Central+Arkansas%3AAcademic Library&app=wcapi&id=OCPSB-
Central Arkansas Library System,AKD,"100 Rock Street, Little Rock, AR",United States,http://www.worldcat.org/wcpa/oclc/21035179?page=frame&url=https%3A%2F%2Fcals.bibliocommons.com%2Fsearch%3Ft%3Dsmart%26search_category%3Dkeyword%26q%3D0231030037%26checksum%3D3487aa3e0591dc493aba888018e12f3e&title=Central+Arkansas+Library+System&linktype=opac&detail=AKD%3ACentral+Arkansas+Library+System%3APublic Library&app=wcapi&id=OCPSB-
Hendrix College,AKE,"Bailey Library, 1600 Washington Ave, Conway, AR",United States,http://www.worldcat.org/wcpa/oclc/258442591?page=frame&url=http%3A%2F%2Fbaileylib.hendrix.edu%2Fsearch%2Fi0892640278%26checksum%3D9c5b418ac730b8f42dc94efcac18fdc1&title=Hendrix+College&linktype=opac&detail=AKE%3AHendrix+College%3AAcademic Library&app=wcapi&id=OCPSB-
Henderson State University,AKH,"1100 Henderson St, Arkadelphia, AR",United States,http://www.worldcat.org/wcpa/oclc/470516586?page=frame&url=http%3A%2F%2Fiii.hsu.edu%2Fsearch%2Fi0804708290%26checksum%3Df4e3d25ae921e32af34e463129f1b74d&title=Henderson+State+University&linktype=opac&detail=AKH%3AHenderson+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Ouachita Baptist University,AKO,"Riley-Hickingbotham Library, 410 Ouachita St, Arkadelphia, AR",United States,http://www.worldcat.org/wcpa/oclc/44683551?page=frame&url=http%3A%2F%2Fiii.hsu.edu%2Fsearch%2F%3Fsearchscope%3D2%26searchtype%3Di%26searcharg%3D0895810018%26checksum%3Dd8f211a709eff32383aeb15c426ccef6&title=Ouachita+Baptist+University&linktype=opac&detail=AKO%3AOuachita+Baptist+University%3AAcademic Library&app=wcapi&id=OCPSB-
Arkansas Tech University,AKP,"Pendergraft Library and Technology, 305 West Q Street, Russellville, AR",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2Fatu-primo.hosted.exlibrisgroup.com%2Fprimo_library%2Flibweb%2Faction%2Fsearch.do%3Ffn%3Dsearch%26ct%3Dsearch%26mode%3DBasic%26tab%3Ddefault_tab%26vid%3D01ARKTECH%26frbg%3D%26scp.scps%3Dscope%253A%2528%252201ARKTECH%2522%2529%26vl%2528595582364UI0%2529%3Dany%26vl%2528freeText0%2529%3D9780472086771%26checksum%3Ddcb1fa8c6765e8cf19f7951d6e57fc6a&title=Arkansas+Tech+University&linktype=opac&detail=AKP%3AArkansas+Tech+University%3AAcademic Library&app=wcapi&id=OCPSB-
University of Akron,AKR,"Bierce Libr 176, 302 E Buchtel Ave, Akron, OH",United States,http://www.worldcat.org/wcpa/oclc/490043796?page=frame&url=http%3A%2F%2Flibrary.uakron.edu%2Fsearch%2Fo624550%26checksum%3D88b907df6da473b26404a4f059473c00&title=University+of+Akron&linktype=opac&detail=AKR%3AUniversity+of+Akron%3AAcademic Library&app=wcapi&id=OCPSB-
University of Arkansas at Little Rock,AKU,"2801 South University Avenue, Little Rock, AR",United States,http://www.worldcat.org/wcpa/oclc/490043796?page=frame&url=http%3A%2F%2Fiii-server.ualr.edu%2Fsearch%2Fo624550%26checksum%3Dbe6503d8eccd5ae211b8c5be81729687&title=University+of+Arkansas+at+Little+Rock&linktype=opac&detail=AKU%3AUniversity+of+Arkansas+at+Little+Rock%3AAcademic Library&app=wcapi&id=OCPSB-
Washington County Public Library,AL5WA,"PO Box 1057, Hwy 56, Chatom, AL",United States,
AL Akhawayn University Library,ALAUL,"AVE HASSAN II, Ifrane",Morocco,http://www.worldcat.org/wcpa/oclc/259997054?page=frame&url=http%3A%2F%2Flibserv.aui.ma%2Fsearch%2Fi9780892641321%26checksum%3Dc12769bcb0e183ab4300f48fef724e25&title=AL+Akhawayn+University+Library&linktype=opac&detail=ALAUL%3AAL+Akhawayn+University+Library%3AAcademic Library&app=wcapi&id=OCPSB-
Alibris,ALBRS,"1250 45th St Ste 100, Emeryville, CA",United States,http://www.worldcat.org/wcpa/oclc/806338736?page=frame&url=http%3A%2F%2Flibrary.alibris.com%2Fbooksearch%3Fwtit%3D089264902X%26checksum%3D10184646ff85bb1185a5794cc867cd78&title=Alibris&linktype=opac&detail=ALBRS%3AAlibris%3AVendor&app=wcapi&id=OCPSB-
Altadena Library District,ALD,"600 E. Mariposa St., Altadena, CA",United States,http://www.worldcat.org/wcpa/oclc/259997054?page=frame&url=http%3A%2F%2Fcatalog.altadenalibrary.org%2Fsearch%2Fi%3D9780520018068%26checksum%3D4f76ecdeea203c083484ad9fe212f9d7&title=Altadena+Library+District&linktype=opac&detail=ALD%3AAltadena+Library+District%3APublic Library&app=wcapi&id=OCPSB-
Falkville Public Library,ALFLK,"PO Box 407, 7 N 1st Ave, Falkville, AL",United States,http://www.worldcat.org/wcpa/oclc/903473479?page=frame&url=http%3A%2F%2Fwww.lmn.lib.al.us%2Fsearch%7ES33%2Fi9780585336558%26checksum%3D060ace37eef9de80c60ae63b47f9bcbf&title=Falkville+Public+Library&linktype=opac&detail=ALFLK%3AFalkville+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
American Library In Paris,ALI,"10 Rue Du General Camou, Paris",France,http://www.worldcat.org/wcpa/oclc/780194?page=frame&url=http%3A%2F%2Fwww.sudoc.abes.fr%2FLNG%3DFR%2FDB%3D2.1%2FCMD%3FACT%3DSRCHA%26IKT%3D7%26SRT%3DRVL%26TRM%3D9780892640157%26checksum%3D5631cf1e9ed07c0ac9f3927cfa824911&title=American+Library+In+Paris&linktype=opac&detail=ALI%3AAmerican+Library+In+Paris%3AAcademic Library&app=wcapi&id=OCPSB-
Alaska State Library,ALK,"395 Whittier Street, Juneau, AK",United States,http://www.worldcat.org/wcpa/oclc/1030402038?page=frame&url=http%3A%2F%2Fjlc-web.uaa.alaska.edu%2Fclient%2Fasl%2Fsearch%2Fresults%3Fqu%3D1007291359%26checksum%3D2f36d162b201db39b40af38db492537c&title=Alaska+State+Library&linktype=opac&detail=ALK%3AAlaska+State+Library%3AState or National Library&app=wcapi&id=OCPSB-
DeSales University Trexler Library,ALL,"2755 Station Avenue, Center Valley, PA",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=https%3A%2F%2Fdesales.on.worldcat.org%2Fsearch%3FqueryString%3Dbn%253A0472969005%26checksum%3D36354d0dac7ffc65350fa80f3fc909c3&title=DeSales+University+Trexler+Library&linktype=opac&detail=ALL%3ADeSales+University+Trexler+Library%3AAcademic Library&app=wcapi&id=OCPSB-
University of Alabama,ALM,"University of Alabama Libraries, Box 870266, Tuscaloosa, AL",United States,http://www.worldcat.org/wcpa/oclc/469658895?page=frame&url=http%3A%2F%2Flibrary.ua.edu%2Fvwebv%2Fsearch%26checksum%3Dbd99d2ff96dad037f1d84c0043d5870b&title=University+of+Alabama&linktype=opac&detail=ALM%3AUniversity+of+Alabama%3AARL Library&app=wcapi&id=OCPSB-
Albany State University,ALQ,"James Pendergrast Mem Libr, 504 College Dr, Albany, GA",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=https%3A%2F%2Fgalileo-usg-asu-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DASU_V1%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C0472969005%26checksum%3Df951285bfed5d09a9287788f7da5fe70&title=Albany+State+University&linktype=opac&detail=ALQ%3AAlbany+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
