full_title,last_name,first_name,role
"Figures of Desire: Wordplay, Spirit Possession, Fantasy, Madness, and Mourning in Japanese Noh Plays",Terasaki,Etsuko,Author
Treatise on Epistolary Style,Lamers,Jeroen,Translator
Transformations of Sensibility: The Phenomenology of Meiji Literature,Kamei,Hideo,Author
Transformations of Sensibility: The Phenomenology of Meiji Literature,Bourdaghs,Michael,Editor
"Religion and Society in Nineteenth-Century Japan: A Study of the Southern Kantō Region, Using Late Edo and Early Meiji Gazetteers",Hardacre,Helen,Author
Confluences: Postwar Japan and France,Slaymaker,Doug,Editor
Engendering Faith: Women and Buddhism in Premodern Japan,Ruch,Barbara,Editor
Modality and the Japanese Language,Johnson,Yuki,Author
Japanese Painting and National Identity: Okakura Tenshin and His Circle,Weston,Victoria,Author
State of War: The Violent Order of Fourteenth-Century Japan,Conlan,Thomas,Author
Song of Sadness,Endō,Shūsaku,Author
Song of Sadness,Shimizu,Teruyo,Translator
"Novel Japan: Spaces of Nationhood in Early Meiji Narrative, 1870–88",Mertz,John Pierre,Author
Ozu's Anti-Cinema,Yoshida,Kiju,Author
Ozu's Anti-Cinema,Miyao,Daisuke,Translator
"Musashino in Tuscany: Japanese Overseas Travel Literature, 1860–1912",Fessler,Susanna,Author
A Wife in Musashino,Ōoka,Shōhei,Author
A Wife in Musashino,Washburn,Dennis,Translator
JAPANimals: History and Culture in Japan's Animal Life,Pflugfelder,Gregory,Editor
JAPANimals: History and Culture in Japan's Animal Life,Walker,Brett,Editor
"Shadows on the Screen: Tanizaki Jun'ichirō on Cinema and ""Oriental"" Aesthetics",LaMarre,Thomas,Author
Objects of Discourse: Memoirs by Women of Heian Japan,Wallace,John,Author
Revealed Identity: The Noh Plays of Komparu Zenchiku,Atkins,Paul,Author
A Zen Life in Nature: Musō Soseki in His Gardens,Davidson,Keir,Author
A Cultural History of Japanese Women's Language,Endō,Orie,Author
School of Freedom,Shishi,Bunroku,Author
School of Freedom,Riggs,Lynne,Translator
Mishima on Stage: The Black Lizard and Other Plays,Kominz,Laurence,Editor
"The Bluestockings of Japan: New Woman Essays and Fiction from Seitō, 1911–16",Bardsley,Jan,Author
White-Haired Melody,Furui,Yoshikichi,Author
White-Haired Melody,McKinney,Meredith,Translator
"Preachers, Poets, Women, and the Way: Izumi Shikibu and the Buddhist Literature of Medieval Japan",Kimbrough,R. Keller,Author
Daily Life and Demographics in Ancient Japan,Farris,William,Author
A Page of Madness: Cinema and Modernity in 1920s Japan,Gerow,Aaron,Author
Research Guide to Japanese Film Studies,Nornes,Abé Markus,Author
Research Guide to Japanese Film Studies,Gerow,Aaron,Author
An Anthology of Nagauta,Malm,William,Author
"Television, Japan, and Globalization",Yoshimoto,Mitsuhiro,Editor
"Television, Japan, and Globalization",Tsai,Eva,Editor
"The Linguistic Turn in Contemporary Japanese Literary Studies: Politics, Language, Textuality",Bourdaghs,Michael,Editor
Imagination without Borders: Feminist Artist Tomiyama Taeko and Social Responsibility,Hein,Laura,Editor
Imagination without Borders: Feminist Artist Tomiyama Taeko and Social Responsibility,Jennison,Rebecca,Author
The Female as Subject: Reading and Writing in Early Modern Japan,Kornicki,P. F.,Editor
The Female as Subject: Reading and Writing in Early Modern Japan,Patessio,Mara,Editor
Women and Public Life in Early Meiji Japan: The Development of the Feminist Movement,Patessio,Mara,Author
Nowaki,Natsume,Sōseki,Author
Nowaki,Ridgeway,William,Translator
Laughing Wolf,Tsushima,Yūko,Author
Laughing Wolf,Washburn,Dennis,Translator
Rethinking Japanese History,Amino,Yoshihiko,Author
Rethinking Japanese History,Tonomura,Hitomi,Contributor
"Conquering Demons: The ""Kirishitan,"" Japan, and the World in Early Modern Japanese Literature",Leuchtenberger,Jan,Author
"Lords of the Sea: Pirates, Violence, and Commerce in Late Medieval Japan",Shapinsky,Peter,Author
Going to Court to Change Japan: Social Movements and the Law in Contemporary Japan,Steinhoff,Patricia,Editor
The Culture of the Quake: The Great Kanto Earthquake and Taishō Japan,Bates,Alex,Author
The American and Japanese Auto Industries in Transition: Report of the Joint U.S.–Japan Automotive Study,Cole,Robert,
Asia through Film: An Annotated Guide to Films on Asia in the University of Michigan Audio-Visual Education Center,Hymes,Jo Ann,
Bibliographic Materials in the Japanese Language on Far Eastern Archeology and Ethnology,Beardsley,Richard,
A Bibliography of Japanese Dialects,Brower,Robert,
A Bibliography of Reference Works for Japanese Studies,Fukuda,Naomi,
Contemporary Japanese Budget Politics,Campbell,John Creighton,
Current Studies in Japanese Law,Gray,Whitmore,
Five Studies in Japanese Politics,Ward,Robert,
Grand Old Man and the Great Tradition: Essays on Tanizaki Jun'ichirô in Honor of Adriana Boscaro,Bienati,Luisa,
How Policies Change: The Japanese Government and the Aging Society,Campbell,John Creighton,
An Introduction to Kambun,Crawcour,Sydney,
"Japan Election Data: The House of Representatives, 1947–1990",Reed,Steven,
Japanese Economics: A Guide to Japanese Reference and Research Materials,Remer,C.,
Japanese Geography: A Guide to Japanese Reference and Research Materials,Hall,Robert,
"Japanese History: A Guide to Survey Histories, Part I, By Period",Fukuda,Naomi,
"Japanese History: A Guide to Survey Histories, Part II, Literature",Fukuda,Naomi,
Japanese Language Studies in the Shōwa Period: A Guide to Japanese Reference and Research Materials,Yamagiwa,Joseph,
Japanese Literature of the Shōwa Period: A Guide to Japanese Reference and Research Materials,Yamagiwa,Joseph,
Japanese Political Science: A Guide to Japanese Reference and Research Materials,Ward,Robert,
Japanese Religion and Philosophy: A Guide to Japanese Reference and Research Materials,Holzman,Donald,
Japanese Sociology and Social Anthropology: A Guide to Japanese Reference and Research Materials,Beardsley,Richard,
A Practical Guide for Teachers of Elementary Japanese,Simon,Mutsuko,
The Social Democratic Movement in Prewar Japan,Totten,George,
Studies in Japanese Culture 1,Beardsley,Richard,
Studies in Japanese Culture II,French,Calvin,
Studies in Japanese History and Politics,Beardsley,Richard,
Studies on Economic Life in Japan,Beardsley,Richard,
Supplementary Grammar Notes to An Introduction to Modern Japanese: Part 1: Lessons 1-15,Simon,Mutsuko,
Supplementary Grammar Notes to An Introduction to Modern Japanese: Part 2: Lessons 16-30,Simon,Mutsuko,
Tanizaki in Western Languages: A Bibliography of Translations and Studies,Boscaro,Adriana,
The Tokyo Trials: A Functional Index to the Proceedings of the International Military Tribunal for the Far East,Dull,Paul,
Two Japanese Villages,Cornell,John,
Windows on the Japanese Past: Studies in Archaeology and Prehistory,Pearson,Richard,
Political Leadership in Contemporary Japan,MacDougall,Terry,
"Parties, Candidates, and Voters in Japan: Six Quantitative Studies",Campbell,John Creighton,
Japanese Automotive Industry: Model and Challenge for the Future?,Cole,Robert,
"Survey of Japanese Collections in the United States, 1979–1980",Fukuda,Naomi,
"Culture and Religion in Japanese-American Relations: Essays on Uchimura Kanzō, 1861–1930",Moore,Ray,
Sukeroku's Double Identity: The Dramatic Structure of Edo Kabuki,Thornbury,Barbara,
Industry at the Crossroads,Cole,Robert,
Treelike: The Poetry of Kinoshita Yüji,Kinoshita,Yūji,
The New Religions of Japan: A Bibliography of Western-Language Materials,Earhart,H. Bryon,
"Automobiles and the Future: Competition, Cooperation, and Change",Cole,Robert,
Collective Decision Making in Rural Japan,Marshall,Robert,
"""The Sting of Death"" and Other Stories",Shimao,Toshio,
The American Automobile Industry: Rebirth or Requiem?,Cole,Robert,
"Entrepreneurship in a ""Mature Industry""",Campbell,John Creighton,
The Japanese Competition: Phase 2,Arnesen,Peter,
Is There Enough Business to Go Around? Overcapacity in the Auto Industry,Arnesen,Peter,
Protohistoric Yamato: Archaeology of the First Japanese State,Barnes,Gina,
The Auto Industry Ahead: Who's Driving?,Arnesen,Peter,
Continuous Improvement: Quality Control Circles in Japanese Industry,Lillrank,Paul,
A History of Japan's Government-Business Relationship: The Passenger Car Industry,Genther,Phyllis,
The Transmission of Chinese Idealist Painting to Japan,Stanley-Baker,Joan,
Japanese Educational Productivity,Leestma,Robert,
Literary Patronage in Late Medieval Japan,Carter,Steven,
A Student Guide to Japanese Sources in the Humanities,Makino,Yasuko,
The Tale of Saigyo,McKinney,Meredith,
"My Life: Living, Loving, and Fighting",Sue,Sumii,
Ancient India in Its Wider World,Parker,Grant,
Beyond Curry: Quick and Easy Indian Cooking,Dandekar,Hemalata,
Masked Ritual and Performance in South India,Shulman,David,
The Train that Had Wings: Selected Stories of M. Mukundan,Davis,Donald,
"Powerful Learning: Buddhist Literati and the Throne in Burma's Last Dynasty, 1752–1885",Charney,Michael,
The Ram Khamaeng Controversy: Collected Papers,Chamberlain,James,
Studies in the Literature of the Great Vehicle: Three Mahayana Buddhist Texts,Gomez,Luis,
The Compound Verb in Hindi,Hook,Peter Edwin,
Critical Studies in Indian Grammarians I: The Theory of Homogeneity (Sāvarṇya),Deshpande,Madhav,
Introduction to Old Javanese Language and Literature: A Kawi Prose Anthology,Zurbuchen,Mary S.,
Reaction to World News Events and the Influence of Mass Media in an Indian Village,Poffenberger,Thomas,
Change and the Persistence of Tradition in India: Five Lectures,Park,Richard,
Compadre Colonialism: Studies in the Philippines under American Rule,Owen,Norman,
"Doctoral Dissertations on South Asia, 1966–1970: An Annotated Bibliography Covering North America, Europe, and Australia",Shulman,Frank,
The Labors of the Datoe and Other Essays on the Bataks of Asahan (North Sumatra),Bartlett,Harley Harris,
Evil in the Morning of the World: Phenomenological Approaches to a Balinese Community,Lansing,John Stephen,
Kinship and History in South Asia: Four Lectures,Trautmann,Thomas,
Studies in Malaysian Oral and Musical Traditions,Malm,William,
Law and Kingship in Thailand During the Reign of King Chulalongkorn,Engel,David,
Fertility and Family Life in an Indian Village,Poffenberger,Thomas,
Explorations in Early Southeast Asian History: The Origins of Southeast Asian Statecraft,Hall,Kenneth,
The Socialization of Family Size Values: Youth and Family Planning in an Indian Village,Poffenberger,Thomas,
"Economic Exchange and Social Interaction in Southeast Asia: Perspectives from Prehistory, History, and Ethnography",Hutterer,Karl,
Aryan and Non-Aryan in India,Deshpande,Madhav,
Austronesian Studies: Papers from the Second Eastern Conference on Austronesian Languages,Naylor,Paz Buenaventura,
"Hindi Structures: Intermediate Level, with Drills, Exercises, and Key",Hook,Peter Edwin,
A Kawi Lexicon,Wojowasito,Soewojo,
"Tankas from the Koelz Collection, Museum of Anthropology, University of Michigan",Copeland,Carolyn,
The Padaeng Chronicle and the Jengtung State Chronicle Translated,Mangrai,Sao,
The Lives of the Buddha in the Art and Literature of Asia,Cummings,Mary,
Organization for Change: A Systems Analysis of Family Planning in Rural India,Misra,Bhaskar,
The Philippine Economy and the United States: Studies in Past and Present Interactions,Owen,Norman,
"Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 1",Becker,Judith,
"Philippine Society and the Individual: Selected Essays of Frank Lynch, 1949–1976",Yengoyan,Aram,
Papers from a Conference on Thai Studies in Honor of William J. Gedney,Bickner,Robert,
Legitimacy and Symbols: The South Asian Writings of F. W. Buckler,Pearson,Michael,
Cultural Values and Human Ecology in Southeast Asia,Hutterer,Karl,
"Men to Bombay, Women at Home: Urban Influence on Sugao Village, Deccan Maharashtra, India, 1942–1982",Dandekar,Hemalata,
Selected Papers on Comparative Tai Studies,Gedney,William,
"Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 2",Becker,Judith,
"Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 3",Becker,Judith,
Ethnic Diversity and the Control of Natural Resources in Southeast Asia,Rambo,A.,
Writing on the Tongue,Becker,A.,
"The Burmese Polity, 1752–1819: Politics, Administration, and Social Organization in the Early Kon-baung Period",Koenig,William,
Boundaries of the Text: Epic Performances in South and Southeast Asia,Flueckiger,Joyce,
Exemplar of Americanism: The Philippine Career of Dean C. Worcester,Sullivan,Rodney,
