full_title,format_code,isbn13,year_published,bisac_status
Pictures of the Heart: The Hyakunin Isshu in Word and Image,PB,9781929280858,2015,Active
A Japanese New Religion: Risshō Kōsei-kai in a Mountain Hamlet,HC,9780939512331,1988,Out of Print
A Japanese New Religion: Risshō Kōsei-kai in a Mountain Hamlet,EB (OA),9780472880072,2004,BLANK
The Three Jewels: A Study and Translation of Minamoto Tamenori's Sanbōe,HC,9780939512348,1988,Out of Print
The Three Jewels: A Study and Translation of Minamoto Tamenori's Sanbōe,EB (OA),9780472880089,2004,BLANK
"Long, Long Autumn Nights: Selected Poems of Oguma Hideo, 1901–1940",HC,9780939512393,1989,Active
"Long, Long Autumn Nights: Selected Poems of Oguma Hideo, 1901–1940",PB,9780939512942,1999,Active
"Theater as Music: The Bunraku Play ""Mt. Imo and Mt. Se: An Exemplary Tale of Womanly Virtue""",HC,9780939512386,1990,Active
The Buddhist Poetry of the Great Kamo Priestess: Daisaiin Senshi and Hosshin Wakashū,HC,9780939512416,1991,Out of Print
The Buddhist Poetry of the Great Kamo Priestess: Daisaiin Senshi and Hosshin Wakashū,EB (OA),9780472880027,2007,BLANK
Rethinking Sorrow: Revelatory Tales of Late Medieval Japan,HC,9780939512423,1991,Out of Print
Rethinking Sorrow: Revelatory Tales of Late Medieval Japan,PB,9780939512744,1991,Active
Conversations with Shōtetsu,HC,9780939512430,1992,Active
The Cult of Kasuga Seen Through Its Art,HC,9780939512478,1992,Active
The Tale of Matsura: Fujiwara Teika's Experiment in Fiction,HC,9780939512485,1992,Active
Poems of the Five Mountains: An Introduction to the Literature of the Zen Monasteries,HC,9780939512539,1992,Active
New Leaves: Studies and Translations of Japanese Literature in Honor of Edward Seidensticker,HC,9780939512560,1993,Active
Black Eggs: Poems by Kurihara Sadako,HC,9780939512638,1994,Out of Print
Avatars of Vengeance: Japanese Drama and the Soga Literary Tradition,HC,9780939512690,1996,Active
The Wild Goose,HC,9780939512706,1996,Out of Print
The Wild Goose,PB,9780939512713,1995,Active
The Distant Isle: Studies and Translations of Japanese Literature in Honor of Robert H. Brower,HC,9780939512720,1997,Active
Regent Redux: A Life of the Statesman-Scholar Ichijō Kaneyoshi,HC,9780939512751,1996,Active
Righteous Cause or Tragic Folly: Changing Views of War in Modern Japanese Poetry,HC,9780939512775,1998,Active
Child of Darkness: Yōko and Other Stories,HC,9780939512782,1997,Out of Print
Child of Darkness: Yōko and Other Stories,PB,9780939512799,1997,Active
The Kagerō Diary: A Woman's Autobiographical Text from Tenth-Century Japan,HC,9780939512805,1997,Active
The Kagerō Diary: A Woman's Autobiographical Text from Tenth-Century Japan,PB,9780939512812,1997,Active
Studies in Modern Japanese Literature,HC,9780939512843,1997,Active
Writing and Renunciation in Medieval Japan: The Works of the Poet-Priest Kamo no Chōmei,HC,9780939512867,1998,Active
The Shade of Blossoms,HC,9780939512874,1998,Out of Print
The Shade of Blossoms,PB,9780939512881,1998,Active
"When We Say ""Hiroshima"": Selected Poems",PB,9780939512898,1999,Active
A Tanizaki Feast: The International Symposium in Venice,HC,9780939512904,1999,Active
Women and Class in Japanese History,HC,9780939512911,1999,Out of Print
Women and Class in Japanese History,PB,9781929280353,1999,Active
The Evolution of the Japanese Past and Perfective Suffixes,HC,9780939512928,1999,Active
Essays on the Modern Japanese Church,HC,9780939512935,2000,Active
Yosano Akiko and The Tale of Genji,HC,9780939512980,2000,Active
Spirits of Another Sort: The Plays of Izumi Kyōka,HC,9780939512010,2001,Active
"""Dark Pictures"" and Other Stories",HC,9780939512027,2000,Active
